"","provider","id","procedure","amt","iv","value","duration","month","year","sex","eth","race","edu","vac","index","comment","check","question","age"
"1","MTurk",1,"aa",1,4,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q5.16",36
"2","MTurk",1,"aa",1,18,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q6.16",36
"3","MTurk",1,"aa",1,60,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q7.16",36
"4","MTurk",1,"aa",1,108,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q8.16",36
"5","MTurk",1,"aa",2,4,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q12.16",36
"6","MTurk",1,"aa",2,18,0.46875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q13.12",36
"7","MTurk",1,"aa",2,60,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q14.16",36
"8","MTurk",1,"aa",2,108,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q15.16",36
"9","MTurk",1,"aa",3,4,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q19.16",36
"10","MTurk",1,"aa",3,18,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q20.16",36
"11","MTurk",1,"aa",3,60,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q21.16",36
"12","MTurk",1,"aa",3,108,0.96875,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q22.16",36
"13","MTurk",1,"mcq",2,0.014,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.1",36
"14","MTurk",1,"mcq",1,5.7e-05,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.2",36
"15","MTurk",1,"mcq",3,0.00088,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.3",36
